Title,Description,Datasets,Link
"Genomic description of Microbacterium mcarthurae sp. nov., a bacterium collected from the International Space Station that exhibits unique antimicrobial-resistant and virulent phenotype","Hill M S, Minnis V R, Simpson A C, Garcia M C, Bone D, Chung R K, Rushton E, et al (2025). Genomic description of Microbacterium mcarthurae sp. nov., a bacterium collected from the International Space Station that exhibits unique antimicrobial-resistant and virulent phenotype, Environmental Microbiology. doi: 10.1128/msystems.00537-25","OSD-69, OSD-252",https://journals.asm.org/doi/epub/10.1128/msystems.00537-25
Feeding the cosmos: tackling personalized space nutrition and the leaky gut challenge,"Barcenilla B B, Rivero R, Lynch A, Cromer W, Gong J, Hrandi B, Stegmann M, et al, (2025). Feeding the cosmos: tackling personalized space nutrition and the leaky gut challenge, npj microgravity. https://doi.org/10.1038/s41526-025-00490-z","OSD-269, OSD-796, OSD-569, OSD-570, OSD-571, OSD-575",https://rdcu.be/eEHp7
Prediction of Cerebrospinal Fluid (CSF) Pressure with Generative Adversarial Network Synthetic Plasma-CSF Biomarker Pairing,"Paladugu P, Kumar R, Yelamanchi J, Waisberg E, Ong J, Masalkhi M, Gowda C, et al, (2025). Prediction of Cerebrospinal Fluid (CSF) Pressure with Generative Adversarial Network Synthetic Plasma-CSF Biomarker Pairing, Neuroinformatics. https://doi.org/10.1007/s12021-025-09729-2","OSD-363, OSD-364",https://link.springer.com/article/10.1007/s12021-025-09729-2#citeas
Deep Cross-Organism Generalization of the Physiological Effects of Spaceflight from Mammalian Model Organisms to Humans,"Adamopoulos K I, Sanders L M, Hoarfrost A, Costes S V, (2025). Deep Cross-Organism Generalization of the Physiological Effects of Spaceflight from Mammalian Model Organisms to Humans, Sciendo. DOI: 10.2478/gsr-2025-0003","OSD-111, OSD-228, OSD-227, OSD-135, OSD-21, OSD-51, OSD-195, OSD-370",https://sciendo.com/article/10.2478/gsr-2025-0003?tab=article
Plasticity of Gene Expression in Spaceflight and Postflight in Relation to Cardiovascular Disease: Mechanisms and Candidate Repurposed Drugs,"Bourdakou M M, Loizidou E M, Spyrou G M, (2025). Plasticity of Gene Expression in Spaceflight and Postflight in Relation to Cardiovascular Disease: Mechanisms and Candidate Repurposed Drugs, Proteomics. https://doi.org/10.1002/pmic.202400241",OSD-258,https://doi.org/10.1002/pmic.202400241
Spaceflight causes strain-dependent gene expression changes in the kidneys of mice,"Finch R H, Vitry G, Siew K, Walsh S B, Beheshti A, Hardiman G, da Silveira W A. Spaceflight causes strain-dependent gene expression changes in the kidneys of mice, Microgravity. https://doi.org/10.1038/s41526-025-00465-0","OSD-102, OSD-163",https://rdcu.be/eEHtm
Effects of Space Flight on Inflammasome Activation in the Brain of Mice,"Roy U, Hadad R, Rodriguez A A, Saju A, Roy D, Gil M, Keane R W, et al (2025). Effects of Space Flight on Inflammasome Activation in the Brain of Mice, Cells. https://doi.org/10.3390/cells14060417","OSD-738, OSD-751, OSD-752, EDA",https://www.mdpi.com/2073-4409/14/6/417
Highly Effective Batch Effect Correction Method for RNA-seq Count Data,"Zhang X, (2024). Highly Effective Batch Effect Correction Method for RNA-seq Count Data, Computational and Sturctural Biotechnology Journal. https://doi.org/10.1016/j.csbj.2024.12.010","OSD-48, OSD-137, OSD-242",https://www.csbj.org/article/S2001-0370(24)00432-X/fulltext
Machine learning ensemble identifies distinct age-related response to spaceflight in mammary tissue,"Casaletto J A, Zhao T, Yeung J, Ansari A, Raj A, Mishra A, Fry A, et al, (2025). Machine learning ensemble identifies distinct age-related response to spaceflight in mammary tissue, bioRxiv. https://doi.org/10.1101/2025.02.17.638732",OSD-511,https://www.biorxiv.org/content/10.1101/2025.02.17.638732v1.full
Behavioral and multiomics analysis of 3D clinostat simulated microgravity effect in mice focusing on the central nervous system,"Zhou L, Song C, Yang H, Zhao L, Li X, Sun X, Gao K, et al, (2025). Behavioral and multiomics analysis of 3D clinostat simulated microgravity effect in mice focusing on the central nervous system, Scientific Reports. https://doi.org/10.1038/s41598-025-90212-y","OSD-32, OSD-352",https://rdcu.be/eEHu4
